car-type,car-id,visit,start_time,end_time,stay_duration,stops,num_generalgate,num_rangerstop,num_camping,num_rangerbase,num_gate,total_visit,total_stay_duration,total_stops,total_num_generalgate,total_num_rangerstop,total_num_camping,total_num_rangerbase,total_num_gate
1,20150001050042-811,0,2015-09-01T17:00:42Z,2015-09-05T17:53:47Z,96.88472222222222,6,2,0,2,0,0,1,96.88472222222222,6,2,0,2,0,0
1,20150001070000-174,0,2015-09-01T07:00:00Z,2015-09-01T07:55:32Z,0.9255555555555556,8,4,2,0,0,0,1,0.9255555555555556,8,4,2,0,0,0
1,20150001070006-104,0,2015-08-01T07:00:06Z,2015-08-06T20:54:09Z,133.9008333333333,11,5,2,2,0,0,1,133.9008333333333,11,5,2,2,0,0
1,20150001080044-124,0,2015-07-01T08:00:44Z,2015-07-10T08:36:07Z,216.58972222222224,7,3,0,2,0,0,1,216.58972222222224,7,3,0,2,0,0
1,20150001090048-374,0,2015-09-01T09:00:48Z,2015-09-05T17:59:57Z,104.98583333333333,9,3,2,2,0,0,1,104.98583333333333,9,3,2,2,0,0
1,20150001100019-538,0,2015-08-01T10:00:19Z,2015-08-02T07:20:52Z,21.3425,9,3,2,2,0,0,1,21.3425,9,3,2,2,0,0
1,20150001110028-155,0,2015-08-01T23:00:28Z,2015-08-01T23:32:18Z,0.5305555555555556,7,3,2,0,0,0,1,0.5305555555555556,7,3,2,0,0,0
1,20150002080017-383,0,2015-10-02T08:00:17Z,2015-10-03T12:08:36Z,28.13861111111111,17,9,4,2,0,0,1,28.13861111111111,17,9,4,2,0,0
1,20150002120037-795,0,2015-08-02T12:00:37Z,2015-08-05T20:11:39Z,80.18388888888889,12,6,2,2,0,0,1,80.18388888888889,12,6,2,2,0,0
1,20150003040042-47,0,2015-06-03T16:00:42Z,2015-06-04T20:29:55Z,28.486944444444447,11,5,2,2,0,0,1,28.486944444444447,11,5,2,2,0,0
