"0","dt %>%"
"0","  mutate(month = str_remove(date, '-..$')) %>%"
"0","  group_by(gate_type, gate_id, month) %>%"
"0","  count() %>%"
"0","  ggplot(aes(x = month, y = n, fill = gate_id)) +"
"0","  geom_histogram(stat = 'identity', position = 'stack') +"
"0","  facet_wrap(~gate_type) +"
"0","  scale_fill_viridis_d() +"
"0","  scale_x_discrete(breaks = c('2015-05', '2015-11', '2016-05'))+"
"0","  labs(x = ""Time of Year"", y = ""Count of Visits"", fill = ""Gate ID"") +"
"0","  theme_ipsum(grid = ""XY"")"
"2","Ignoring unknown parameters: binwidth, bins, pad"
